acronym,group
KRT75,brain
KRT77,brain
KRT78,brain
KRT83,brain
KRTAP13-1,brain
KRTAP5-7,brain
KRTAP8-1,brain
KSR2,brain
L1CAM,brain
LAMA1,brain
LARP6,brain
LCE1C,brain
LCE1E,brain
LCE3C,brain
LCN1,brain
LCN15,brain
LCN9,brain
LCNL1,brain
LCTL,brain
LECT1,brain
LECT2,brain
LGALS16,brain
LGI1,brain
LGI3,brain
LGR5,brain
LHFPL1,brain
LHFPL3,brain
LHFPL4,brain
LHFPL5,brain
LHPP,brain
LHX2,brain
LHX3,brain
LHX5,brain
LHX6,brain
LILRA4,brain
LIN28B,brain
LINC00207,brain
LINGO1,brain
LINGO2,brain
LINGO3,brain
LIPF,brain
LIX1,brain
LMO1,brain
LMO3,brain
LMTK3,brain
LONRF2,brain
LPA,brain
LPAR4,brain
LPL,brain
LPO,brain
LRFN1,brain
LRFN2,brain
LRFN5,brain
LRIG1,brain
LRIT1,brain
LRIT2,brain
LRP1B,brain
LRP2,brain
LRP2BP,brain
LRP4,brain
LRP8,brain
LRRC14B,brain
LRRC24,brain
LRRC38,brain
LRRC3B,brain
LRRC4,brain
LRRC4B,brain
LRRC4C,brain
LRRC52,brain
LRRC55,brain
LRRC63,brain
LRRC7,brain
LRRC8B,brain
LRRC9,brain
LRRN1,brain
LRRN2,brain
LRRN3,brain
LRRTM1,brain
LRRTM2,brain
LRRTM3,brain
LRRTM4,brain
LRTM1,brain
LRTM2,brain
LSAMP,brain
LUZP2,brain
LY6H,brain
LYG2,brain
LYNX1,brain
LYPD1,brain
LYPD5,brain
LYPD6,brain
LYZL4,brain
LZTS1,brain
MAEL,brain
MAG,brain
MAGEA1,brain
MAGEA12,brain
MAGEA4,brain
MAGEA6,brain
MAGEC1,brain
MAGEC3,brain
MAGED4B,brain
MAGEE1,brain
MAGEE2,brain
MAGEL2,brain
MAGI2,brain
MAL,brain
MAMLD1,brain
MANEAL,brain
MAP1A,brain
MAP1B,brain
MAP2,brain
MAP3K10,brain
MAP3K9,brain
MAP6,brain
MAP6D1,brain
MAP7D2,brain
MAPK10,brain
MAPK4,brain
MAPK8IP1,brain
MAPK8IP2,brain
MAPRE3,brain
MAPT,brain
MARCH1,brain
MARCH11,brain
MARCH4,brain
MARK1,brain
MAS1,brain
MASP1,brain
MAST1,brain
MAST3,brain
MATK,brain
MATN3,brain
MBP,brain
MC3R,brain
MC4R,brain
MC5R,brain
MCCD1,brain
MCF2,brain
MCF2L2,brain
MCHR1,brain
MCHR2,brain
MDGA2,brain
MDH1B,brain
MED12L,brain
MEF2C,brain
MEGF10,brain
MEGF11,brain
MEPE,brain
METRN,brain
MFAP3L,brain
MGAT3,brain
MGAT4C,brain
MGAT5B,brain
MIOX,brain
MIP,brain
MIR7-3HG,brain
MKRN3,brain
MLC1,brain
MLLT11,brain
MMD,brain
MMD2,brain
MMP16,brain
MMP17,brain
MMP24,brain
MOAP1,brain
MOBP,brain
MOG,brain
MORC1,brain
MORN4,brain
MOS,brain
MPP2,brain
MPPED1,brain
MRAP2,brain
MRAS,brain
MRGPRX1,brain
MRO,brain
MS4A12,brain
MS4A15,brain
MSANTD1,brain
MSI1,brain
MSLNL,brain
MSMP,brain
MSTN,brain
MT3,brain
MTMR7,brain
MTNR1B,brain
MTSS1L,brain
MTUS2,brain
MUC19,brain
MUC22,brain
MUC6,brain
MUM1L1,brain
MURC,brain
MYADML2,brain
MYBPC1,brain
MYBPH,brain
MYBPHL,brain
MYCN,brain
MYEF2,brain
MYH15,brain
MYH2,brain
MYH4,brain
MYH7,brain
MYL1,brain
MYLK2,brain
MYO16,brain
MYO5A,brain
MYOD1,brain
MYOG,brain
MYRIP,brain
MYT1,brain
MYT1L,brain
NAA11,brain
NACAD,brain
NALCN,brain
NANOS3,brain
NAP1L2,brain
NAP1L3,brain
NAP1L5,brain
NAPB,brain
NAT14,brain
NAT8L,brain
NAV3,brain
NBEA,brain
NCALD,brain
